,Name,Rating,Director,Creator,Genre,DatePublished,Actor 1,Actor 2,Description
0,Bullet Train,7.3,David Leitch,Zak Olkewicz,"['Action', 'Comedy', 'Thriller']",2022-08-05,Brad Pitt,Joey King,five assassin aboard swiftly-mov bullet train find mission someth common
1,The Truth Will Set You Free,8.0,Erin Ehrlich,Sarah Watson,"['Comedy', 'Drama']",2020-07-02,Katie Stevens,Aisha Dee,jane n't comfort post-surgeri bodi visit dad may chang outlook sutton richard make plan futur kat tri move forward work podcast first episod come p ...
2,Rasga Mortalha,7.7,Thiago Martins De Melo,Thiago Martins De Melo,"['Animation', 'Short']",2020-09-25,Unknown,Unknown,rasga mortalha come legend owl `` suindara '' much told folklor north northeast brazil address socio-polit urgenc countri
3,Ufos And Paranormal Phenomena,7.3,Unknown,Unknown,['Documentary'],1995-01-10,Christopher Chacon,Lars Svedberg,documentari seri incred claim central thread ufo alien civil play crucial role develop human throughout histori
4,Findiktan Sonra,6.4,Ercan Kesal,Unknown,"['Documentary', 'Short']",,Yasar Mutioglu,Fikret Yapici,none
5,Mothers,8.6,Horia Cucuta,Luke Anthony Walker,"['Short', 'Horror']",2020-08-01,Mihaela Trofimov,Mara Ecaterina Gänæaard,put lover 's child bed night day move women 's quiet even take sinist turn young girl visit deceas mother
6,Les Méchants,4.0,Mouloud Achour,Mouloud Achour,['Comedy'],2021-09-08,Roman Frayssinet,Djimo,steal video-gam consol migrant sébastien tri sell nice-guy patrick far noth go rapper releas prison tv present will anyth creat com ...
7,I Am Afraid To Forget Your Face,6.9,Sameh Alaa,Sameh Alaa,"['Short', 'Drama']",2020-09-10,Nourhan Ahmed,Yousef Elrashidy,82-day separ adam travel rough road reunit one love whatev take
8,May The Ar Be Li$$ You: Season Vii - The Arli$$ Awaken$,8.0,Patrick Cotnoir,Connor Ratliff,"['Comedy', 'Talk-Show']",2020-06-28,Michael Boatman,Hallie Bulleit,season vii arli awaken us dream becom champion remain fantasi special much realiti cheer live athlet last warrior job ...
9,Blackpink: How You Like That,7.7,Unknown,Unknown,['Music'],2020-06-26,Unknown,Unknown,`` like '' blackpink power anthem self-confid self-assert song depict blackpink 's journey success amidst challeng circumst encourag listen never give remain ...
